"Decimal","Hexadecimal","Company" # Downloaded from https://www.bluetooth.com/specifications/assigned-numbers/company-identifiers/
"1334","0x0536","ZTR Control Systems LLC"
"1335","0x0537","MetaLogics Corporation"
"1336","0x0538","Medela AG"
"1337","0x0539","OPPLE Lighting Co., Ltd"
"1338","0x053A","Savitech Corp.,"
"1339","0x053B","prodigy"
"1340","0x053C","Screenovate Technologies Ltd"
"1341","0x053D","TESA SA"
"1342","0x053E","CLIM8 LIMITED"
"1343","0x053F","Silergy Corp"
"1344","0x0540","SilverPlus, Inc"
"1345","0x0541","Sharknet srl"
"1346","0x0542","Mist Systems, Inc."
"1347","0x0543","MIWA LOCK CO.,Ltd"
"1348","0x0544","OrthoSensor, Inc."
"1349","0x0545","Candy Hoover Group s.r.l"
"1350","0x0546","Apexar Technologies S.A."
"1351","0x0547","LOGICDATA d.o.o."
"1352","0x0548","Knick Elektronische Messgeraete GmbH & Co. KG"
"1353","0x0549","Smart Technologies and Investment Limited"
"1354","0x054A","Linough Inc."
"1355","0x054B","Advanced Electronic Designs, Inc."
"1356","0x054C","Carefree Scott Fetzer Co Inc"
"1357","0x054D","Sensome"
"1358","0x054E","FORTRONIK storitve d.o.o."
"1359","0x054F","Sinnoz"
"1360","0x0550","Versa Networks, Inc."
"1361","0x0551","Sylero"
"1362","0x0552","Avempace SARL"
"1363","0x0553","Nintendo Co., Ltd."
"1364","0x0554","National Instruments"
"1365","0x0555","KROHNE Messtechnik GmbH"
"1366","0x0556","Otodynamics Ltd"
"1367","0x0557","Arwin Technology Limited"
"1368","0x0558","benegear, inc."
"1369","0x0559","Newcon Optik"
"1370","0x055A","CANDY HOUSE, Inc."
"1371","0x055B","FRANKLIN TECHNOLOGY INC"
"1372","0x055C","Lely"
"1373","0x055D","Valve Corporation"
"1374","0x055E","Hekatron Vertriebs GmbH"
"1375","0x055F","PROTECH S.A.S. DI GIRARDI ANDREA & C."
"1376","0x0560","Sarita CareTech APS (formerly Sarita CareTech IVS)"
"1377","0x0561","Finder S.p.A."
"1378","0x0562","Thalmic Labs Inc."
"1379","0x0563","Steinel Vertrieb GmbH"
"1380","0x0564","Beghelli Spa"
"1381","0x0565","Beijing Smartspace Technologies Inc."
"1382","0x0566","CORE TRANSPORT TECHNOLOGIES NZ LIMITED"
"1383","0x0567","Xiamen Everesports Goods Co., Ltd"
"1384","0x0568","Bodyport Inc."
"1385","0x0569","Audionics System, INC."
"1386","0x056A","Flipnavi Co.,Ltd."
"1387","0x056B","Rion Co., Ltd."
"1388","0x056C","Long Range Systems, LLC"
"1389","0x056D","Redmond Industrial Group LLC"
"1390","0x056E","VIZPIN INC."
"1391","0x056F","BikeFinder AS"
"1392","0x0570","Consumer Sleep Solutions LLC"
"1393","0x0571","PSIKICK, INC."
"1394","0x0572","AntTail.com"
"1395","0x0573","Lighting Science Group Corp."
"1396","0x0574","AFFORDABLE ELECTRONICS INC"
"1397","0x0575","Integral Memroy Plc"
"1398","0x0576","Globalstar, Inc."
"1399","0x0577","True Wearables, Inc."
"1400","0x0578","Wellington Drive Technologies Ltd"
"1401","0x0579","Ensemble Tech Private Limited"
"1402","0x057A","OMNI Remotes"
"1403","0x057B","Duracell U.S. Operations Inc."
"1404","0x057C","Toor Technologies LLC"
"1405","0x057D","Instinct Performance"
"1406","0x057E","Beco, Inc"
"1407","0x057F","Scuf Gaming International, LLC"
"1408","0x0580","ARANZ Medical Limited"
"1409","0x0581","LYS TECHNOLOGIES LTD"
"1410","0x0582","Breakwall Analytics, LLC"
"1411","0x0583","Code Blue Communications"
"1412","0x0584","Gira Giersiepen GmbH & Co. KG"
"1413","0x0585","Hearing Lab Technology"
"1414","0x0586","LEGRAND"
"1415","0x0587","Derichs GmbH"
"1416","0x0588","ALT-TEKNIK LLC"
"1417","0x0589","Star Technologies"
"1418","0x058A","START TODAY CO.,LTD."
"1419","0x058B","Maxim Integrated Products"
"1420","0x058C","MERCK Kommanditgesellschaft auf Aktien"
"1421","0x058D","Jungheinrich Aktiengesellschaft"
"1422","0x058E","Oculus VR, LLC"
"1423","0x058F","HENDON SEMICONDUCTORS PTY LTD"
"1424","0x0590","Pur3 Ltd"
"1425","0x0591","Viasat Group S.p.A."
"1426","0x0592","IZITHERM"
"1427","0x0593","Spaulding Clinical Research"
"1428","0x0594","Kohler Company"
"1429","0x0595","Inor Process AB"
"1430","0x0596","My Smart Blinds"
"1431","0x0597","RadioPulse Inc"
"1432","0x0598","rapitag GmbH"
"1433","0x0599","Lazlo326, LLC."
"1434","0x059A","Teledyne Lecroy, Inc."
"1435","0x059B","Dataflow Systems Limited"
"1436","0x059C","Macrogiga Electronics"
"1437","0x059D","Tandem Diabetes Care"
"1438","0x059E","Polycom, Inc."
"1439","0x059F","Fisher & Paykel Healthcare"
"1440","0x05A0","RCP Software Oy"
"1441","0x05A1","Shanghai Xiaoyi Technology Co.,Ltd."
"1442","0x05A2","ADHERIUM(NZ) LIMITED"
"1443","0x05A3","Axiomware Systems Incorporated"
"1444","0x05A4","O. E. M. Controls, Inc."
"1445","0x05A5","Kiiroo BV"
"1446","0x05A6","Telecon Mobile Limited"
"1447","0x05A7","Sonos Inc"
"1448","0x05A8","Tom Allebrandi Consulting"
"1449","0x05A9","Monidor"
"1450","0x05AA","Tramex Limited"
"1451","0x05AB","Nofence AS"
"1452","0x05AC","GoerTek Dynaudio Co., Ltd."
"1453","0x05AD","INIA"
"1454","0x05AE","CARMATE MFG.CO.,LTD"
"1455","0x05AF","OV LOOP, INC. (formerly ONvocal)"
"1456","0x05B0","NewTec GmbH"
"1457","0x05B1","Medallion Instrumentation Systems"
"1458","0x05B2","CAREL INDUSTRIES S.P.A."
"1459","0x05B3","Parabit Systems, Inc."
"1460","0x05B4","White Horse Scientific ltd"
"1461","0x05B5","verisilicon"
"1462","0x05B6","Elecs Industry Co.,Ltd."
"1463","0x05B7","Beijing Pinecone Electronics Co.,Ltd."
"1464","0x05B8","Ambystoma Labs Inc."
"1465","0x05B9","Suzhou Pairlink Network Technology"
"1466","0x05BA","igloohome"
"1467","0x05BB","Oxford Metrics plc"
"1468","0x05BC","Leviton Mfg. Co., Inc."
"1469","0x05BD","ULC Robotics Inc."
"1470","0x05BE","RFID Global by Softwork SrL"
"1471","0x05BF","Real-World-Systems Corporation"
"1472","0x05C0","Nalu Medical, Inc."
"1473","0x05C1","P.I.Engineering"
"1474","0x05C2","Grote Industries"
"1475","0x05C3","Runtime, Inc."
"1476","0x05C4","Codecoup sp. z o.o. sp. k."
"1477","0x05C5","SELVE GmbH & Co. KG"
"1478","0x05C6","Smart Animal Training Systems, LLC"
"1479","0x05C7","Lippert Components, INC"
"1480","0x05C8","SOMFY SAS"
"1481","0x05C9","TBS Electronics B.V."
"1482","0x05CA","MHL Custom Inc"
"1483","0x05CB","LucentWear LLC"
"1484","0x05CC","WATTS ELECTRONICS"
"1485","0x05CD","RJ Brands LLC"
"1486","0x05CE","V-ZUG Ltd"
"1487","0x05CF","Biowatch SA"
"1488","0x05D0","Anova Applied Electronics"
"1489","0x05D1","Lindab AB"
"1490","0x05D2","frogblue TECHNOLOGY GmbH"
"1491","0x05D3","Acurable Limited"
"1492","0x05D4","LAMPLIGHT Co., Ltd."
"1493","0x05D5","TEGAM, Inc."
"1494","0x05D6","Zhuhai Jieli technology Co.,Ltd"
"1495","0x05D7","modum.io AG"
"1496","0x05D8","Farm Jenny LLC"
"1497","0x05D9","Toyo Electronics Corporation"
"1498","0x05DA","Applied Neural Research Corp"
"1499","0x05DB","Avid Identification Systems, Inc."
"1500","0x05DC","Petronics Inc."
"1501","0x05DD","essentim GmbH"
"1502","0x05DE","QT Medical INC."
"1503","0x05DF","VIRTUALCLINIC.DIRECT LIMITED"
"1504","0x05E0","Viper Design LLC"
"1505","0x05E1","Human, Incorporated"
"1506","0x05E2","stAPPtronics GmbH"
"1507","0x05E3","Elemental Machines, Inc."
"1508","0x05E4","Taiyo Yuden Co., Ltd"
"1509","0x05E5","INEO ENERGY& SYSTEMS"
"1510","0x05E6","Motion Instruments Inc."
"1511","0x05E7","PressurePro"
"1512","0x05E8","COWBOY"
"1513","0x05E9","iconmobile GmbH"
"1514","0x05EA","ACS-Control-System GmbH"
"1515","0x05EB","Bayerische Motoren Werke AG"
"1516","0x05EC","Gycom Svenska AB"
"1517","0x05ED","Fuji Xerox Co., Ltd"
"1518","0x05EE","Glide Inc."
"1519","0x05EF","SIKOM AS"
"1520","0x05F0","beken"
"1521","0x05F1","The Linux Foundation"
"1522","0x05F2","Try and E CO.,LTD."
"1523","0x05F3","SeeScan"
"1524","0x05F4","Clearity, LLC"
"1525","0x05F5","GS TAG"
"1526","0x05F6","DPTechnics"
"1527","0x05F7","TRACMO, INC."
"1528","0x05F8","Anki Inc."
"1529","0x05F9","Hagleitner Hygiene International GmbH"
"1530","0x05FA","Konami Sports Life Co., Ltd."
"1531","0x05FB","Arblet Inc."
"1532","0x05FC","Masbando GmbH"
"1533","0x05FD","Innoseis"
"1534","0x05FE","Niko nv"
"1535","0x05FF","Wellnomics Ltd"
"1536","0x0600","iRobot Corporation"
"1537","0x0601","Schrader Electronics"
"1538","0x0602","Geberit International AG"
"1539","0x0603","Fourth Evolution Inc"
"1540","0x0604","Cell2Jack LLC"
"1541","0x0605","FMW electronic Futterer u. Maier-Wolf OHG"
"1542","0x0606","John Deere"
"1543","0x0607","Rookery Technology Ltd"
"1544","0x0608","KeySafe-Cloud"
"1545","0x0609","BUCHI Labortechnik AG"
"1546","0x060A","IQAir AG"
"1547","0x060B","Triax Technologies Inc"
"1548","0x060C","Vuzix Corporation"
"1549","0x060D","TDK Corporation"
"1550","0x060E","Blueair AB"
"1551","0x060F","Signify Netherlands"
"1552","0x0610","ADH GUARDIAN USA LLC"
"1553","0x0611","Beurer GmbH"
"1554","0x0612","Playfinity AS"
"1555","0x0613","Hans Dinslage GmbH"
"1556","0x0614","OnAsset Intelligence, Inc."
"1557","0x0615","INTER ACTION Corporation"
"1558","0x0616","OS42 UG (haftungsbeschraenkt)"
"1559","0x0617","WIZCONNECTED COMPANY LIMITED"
"1560","0x0618","Audio-Technica Corporation"
"1561","0x0619","Six Guys Labs, s.r.o."
"1562","0x061A","R.W. Beckett Corporation"
"1563","0x061B","silex technology, inc."
"1564","0x061C","Univations Limited"
"1565","0x061D","SENS Innovation ApS"
"1566","0x061E","Diamond Kinetics, Inc."
"1567","0x061F","Phrame Inc."
"1568","0x0620","Forciot Oy"
"1569","0x0621","Noordung d.o.o."
"1570","0x0622","Beam Labs, LLC"
"1571","0x0623","Philadelphia Scientific (U.K.) Limited"
"1572","0x0624","Biovotion AG"
"1573","0x0625","Square Panda, Inc."
"1574","0x0626","Amplifico"
"1575","0x0627","WEG S.A."
"1576","0x0628","Ensto Oy"
"1577","0x0629","PHONEPE PVT LTD"
"1578","0x062A","Lunatico Astronomia SL"
"1579","0x062B","MinebeaMitsumi Inc."
"1580","0x062C","ASPion GmbH"
"1581","0x062D","Vossloh-Schwabe Deutschland GmbH"
"1582","0x062E","Procept"
"1583","0x062F","ONKYO Corporation"
"1584","0x0630","Asthrea D.O.O."
"1585","0x0631","Fortiori Design LLC"
"1586","0x0632","Hugo Muller GmbH & Co KG"
"1587","0x0633","Wangi Lai PLT"
"1588","0x0634","Fanstel Corp"
"1589","0x0635","Crookwood"
"1590","0x0636","ELECTRONICA INTEGRAL DE SONIDO S.A."
"1591","0x0637","GiP Innovation Tools GmbH"
"1592","0x0638","LX SOLUTIONS PTY LIMITED"
"1593","0x0639","Shenzhen Minew Technologies Co., Ltd."
"1594","0x063A","Prolojik Limited"
"1595","0x063B","Kromek Group Plc"
"1596","0x063C","Contec Medical Systems Co., Ltd."
"1597","0x063D","Xradio Technology Co.,Ltd."
"1598","0x063E","The Indoor Lab, LLC"
"1599","0x063F","LDL TECHNOLOGY"
"1600","0x0640","Parkifi"
"1601","0x0641","Revenue Collection Systems FRANCE SAS"
"1602","0x0642","Bluetrum Technology Co.,Ltd"
"1603","0x0643","makita corporation"
"1604","0x0644","Apogee Instruments"
"1605","0x0645","BM3"
"1606","0x0646","SGV Group Holding GmbH & Co. KG"
"1607","0x0647","MED-EL"
"1608","0x0648","Ultune Technologies"
"1609","0x0649","Ryeex Technology Co.,Ltd."
"1610","0x064A","Open Research Institute, Inc."
"1611","0x064B","Scale-Tec, Ltd"
"1612","0x064C","Zumtobel Group AG"
"1613","0x064D","iLOQ Oy"
"1614","0x064E","KRUXWorks Technologies Private Limited"
"1615","0x064F","Digital Matter Pty Ltd"
"1616","0x0650","Coravin, Inc."
"1617","0x0651","Stasis Labs, Inc."
"1618","0x0652","ITZ Innovations- und Technologiezentrum GmbH"
"1619","0x0653","Meggitt SA"
"1620","0x0654","Ledlenser GmbH & Co. KG"
"1621","0x0655","Renishaw PLC"
"1622","0x0656","ZhuHai AdvanPro Technology Company Limited"
"1623","0x0657","Meshtronix Limited"
"1624","0x0658","Payex Norge AS"
"1625","0x0659","UnSeen Technologies Oy"
"1626","0x065A","Zound Industries International AB"
"1627","0x065B","Sesam Solutions BV"
"1628","0x065C","PixArt Imaging Inc."
"1629","0x065D","Panduit Corp."
"1630","0x065E","Alo AB"
"1631","0x065F","Ricoh Company Ltd"
"1632","0x0660","RTC Industries, Inc."
"1633","0x0661","Mode Lighting Limited"
"1634","0x0662","Particle Industries, Inc."
"1635","0x0663","Advanced Telemetry Systems, Inc."
"1636","0x0664","RHA TECHNOLOGIES LTD"
"1637","0x0665","Pure International Limited"
"1638","0x0666","WTO Werkzeug-Einrichtungen GmbH"
"1639","0x0667","Spark Technology Labs Inc."
"1640","0x0668","Bleb Technology srl"
"1641","0x0669","Livanova USA, Inc."
"1642","0x066A","Brady Worldwide Inc."
"1643","0x066B","DewertOkin GmbH"
"1644","0x066C","Ztove ApS"
"1645","0x066D","Venso EcoSolutions AB"
"1646","0x066E","Eurotronik Kranj d.o.o."
"1647","0x066F","Hug Technology Ltd"
"1648","0x0670","Gema Switzerland GmbH"
"1649","0x0671","Buzz Products Ltd."
"1650","0x0672","Kopi"
"1651","0x0673","Innova Ideas Limited"
"1652","0x0674","BeSpoon"
"1653","0x0675","Deco Enterprises, Inc."
"1654","0x0676","Expai Solutions Private Limited"
"1655","0x0677","Innovation First, Inc."
"1656","0x0678","SABIK Offshore GmbH"
"1657","0x0679","4iiii Innovations Inc."
"1658","0x067A","The Energy Conservatory, Inc."
"1659","0x067B","I.FARM, INC."
"1660","0x067C","Tile, Inc."
"1661","0x067D","Form Athletica Inc."
"1662","0x067E","MbientLab Inc"
"1663","0x067F","NETGRID S.N.C. DI BISSOLI MATTEO, CAMPOREALE SIMONE, TOGNETTI FEDERICO"
"1664","0x0680","Mannkind Corporation"
"1665","0x0681","Trade FIDES a.s."
"1666","0x0682","Photron Limited"
"1667","0x0683","Eltako GmbH"
"1668","0x0684","Dermalapps, LLC"
"1669","0x0685","Greenwald Industries"
"1670","0x0686","inQs Co., Ltd."
"1671","0x0687","Cherry GmbH"
"1672","0x0688","Amsted Digital Solutions Inc."
"1673","0x0689","Tacx b.v."
"1674","0x068A","Raytac Corporation"
"1675","0x068B","Jiangsu Teranovo Tech Co., Ltd."
"1676","0x068C","Changzhou Sound Dragon Electronics and Acoustics Co., Ltd"
"1677","0x068D","JetBeep Inc."
"1678","0x068E","Razer Inc."
"1679","0x068F","JRM Group Limited"
"1680","0x0690","Eccrine Systems, Inc."
"1681","0x0691","Curie Point AB"
"1682","0x0692","Georg Fischer AG"
"1683","0x0693","Hach - Danaher"
"1684","0x0694","T&A Laboratories LLC"
"1685","0x0695","Koki Holdings Co., Ltd."
"1686","0x0696","Gunakar Private Limited"
"1687","0x0697","Stemco Products Inc"
"1688","0x0698","Wood IT Security, LLC"
"1689","0x0699","RandomLab SAS"
"1690","0x069A","Adero, Inc. (formerly as TrackR, Inc.)"
"1691","0x069B","Dragonchip Limited"
"1692","0x069C","Noomi AB"
"1693","0x069D","Vakaros LLC"
"1694","0x069E","Delta Electronics, Inc."
"1695","0x069F","FlowMotion Technologies AS"
"1696","0x06A0","OBIQ Location Technology Inc."
"1697","0x06A1","Cardo Systems, Ltd"
"1698","0x06A2","Globalworx GmbH"
"1699","0x06A3","Nymbus, LLC"
"1700","0x06A4","Sanyo Techno Solutions Tottori Co., Ltd."
"1701","0x06A5","TEKZITEL PTY LTD"
"1702","0x06A6","Roambee Corporation"
"1703","0x06A7","Chipsea Technologies (ShenZhen) Corp."
"1704","0x06A8","GD Midea Air-Conditioning Equipment Co., Ltd."
"1705","0x06A9","Soundmax Electronics Limited"
"1706","0x06AA","Produal Oy"
"1707","0x06AB","HMS Industrial Networks AB"
"1708","0x06AC","Ingchips Technology Co., Ltd."
"1709","0x06AD","InnovaSea Systems Inc."
"1710","0x06AE","SenseQ Inc."
"1711","0x06AF","Shoof Technologies"
"1712","0x06B0","BRK Brands, Inc."
"1713","0x06B1","SimpliSafe, Inc."
"1714","0x06B2","Tussock Innovation 2013 Limited"
"1715","0x06B3","The Hablab ApS"
"1716","0x06B4","Sencilion Oy"
"1717","0x06B5","Wabilogic Ltd."
"1718","0x06B6","Sociometric Solutions, Inc."
"1719","0x06B7","iCOGNIZE GmbH"
"1720","0x06B8","ShadeCraft, Inc"
"1721","0x06B9","Beflex Inc."
"1722","0x06BA","Beaconzone Ltd"
"1723","0x06BB","Leaftronix Analogic Solutions Private Limited"
"1724","0x06BC","TWS Srl"
"1725","0x06BD","ABB Oy"
"1726","0x06BE","HitSeed Oy"
"1727","0x06BF","Delcom Products Inc."
"1728","0x06C0","CAME S.p.A."
"1729","0x06C1","Alarm.com Holdings, Inc"
"1730","0x06C2","Measurlogic Inc."
"1731","0x06C3","King I Electronics.Co.,Ltd"
"1732","0x06C4","Dream Labs GmbH"
"1733","0x06C5","Urban Compass, Inc"
"1734","0x06C6","Simm Tronic Limited"
"1735","0x06C7","Somatix Inc"
"1736","0x06C8","Storz & Bickel GmbH & Co. KG"
"1737","0x06C9","MYLAPS B.V."
"1738","0x06CA","Shenzhen Zhongguang Infotech Technology Development Co., Ltd"
"1739","0x06CB","Dyeware, LLC"
"1740","0x06CC","Dongguan SmartAction Technology Co.,Ltd."
"1741","0x06CD","DIG Corporation"
"1742","0x06CE","FIOR & GENTZ"
"1743","0x06CF","Belparts N.V."
"1744","0x06D0","Etekcity Corporation"
"1745","0x06D1","Meyer Sound Laboratories, Incorporated"
"1746","0x06D2","CeoTronics AG"
"1747","0x06D3","TriTeq Lock and Security, LLC"
"1748","0x06D4","DYNAKODE TECHNOLOGY PRIVATE LIMITED"
"1749","0x06D5","Sensirion AG"
"1750","0x06D6","JCT Healthcare Pty Ltd"
"1751","0x06D7","FUBA Automotive Electronics GmbH"
"1752","0x06D8","AW Company"
"1753","0x06D9","Shanghai Mountain View Silicon Co.,Ltd."
"1754","0x06DA","Zliide Technologies ApS"
"1755","0x06DB","Automatic Labs, Inc."
"1756","0x06DC","Industrial Network Controls, LLC"
"1757","0x06DD","Intellithings Ltd."
"1758","0x06DE","Navcast, Inc."
"1759","0x06DF","Hubbell Lighting, Inc."
"1760","0x06E0","Avaya "
"1761","0x06E1","Milestone AV Technologies LLC"
"1762","0x06E2","Alango Technologies Ltd"
"1763","0x06E3","Spinlock Ltd"
"1764","0x06E4","Aluna"
"1765","0x06E5","OPTEX CO.,LTD."
"1766","0x06E6","NIHON DENGYO KOUSAKU"
"1767","0x06E7","VELUX A/S"
"1768","0x06E8","Almendo Technologies GmbH"
"1769","0x06E9","Zmartfun Electronics, Inc."
"1770","0x06EA","SafeLine Sweden AB"
"1771","0x06EB","Houston Radar LLC"
"1772","0x06EC","Sigur"
"1773","0x06ED","J Neades Ltd"
"1774","0x06EE","Avantis Systems Limited"
"1775","0x06EF","ALCARE Co., Ltd."
"1776","0x06F0","Chargy Technologies, SL"
"1777","0x06F1","Shibutani Co., Ltd."
"1778","0x06F2","Trapper Data AB"
"1779","0x06F3","Alfred International Inc."
"1780","0x06F4","Near Field Solutions Ltd"
"1781","0x06F5","Vigil Technologies Inc."
"1782","0x06F6","Vitulo Plus BV"
"1783","0x06F7","WILKA Schliesstechnik GmbH"
"1784","0x06F8","BodyPlus Technology Co.,Ltd"
"1785","0x06F9","happybrush GmbH"
"1786","0x06FA","Enequi AB"
"1787","0x06FB","Sartorius AG"
"1788","0x06FC","Tom Communication Industrial Co.,Ltd."
"1789","0x06FD","ESS Embedded System Solutions Inc."
"1790","0x06FE","Mahr GmbH"
"1791","0x06FF","Redpine Signals Inc"
"1792","0x0700","TraqFreq LLC"
"1793","0x0701","PAFERS TECH"
"1794","0x0702","Akciju sabiedriba ""SAF TEHNIKA"""
"1795","0x0703","Beijing Jingdong Century Trading Co., Ltd."
"1796","0x0704","JBX Designs Inc."
"1797","0x0705","AB Electrolux"
"1798","0x0706","Wernher von Braun Center for ASdvanced Research"
"1799","0x0707","Essity Hygiene and Health Aktiebolag"
"1800","0x0708","Be Interactive Co., Ltd"
"1801","0x0709","Carewear Corp."
"1802","0x070A","Huf Hülsbeck & Fürst GmbH & Co. KG"
"1803","0x070B","Element Products, Inc."
"1804","0x070C","Beijing Winner Microelectronics Co.,Ltd"
"1805","0x070D","SmartSnugg Pty Ltd"
"1806","0x070E","FiveCo Sarl"
"1807","0x070F","California Things Inc."
"1808","0x0710","Audiodo AB"
"1809","0x0711","ABAX AS"
"1810","0x0712","Bull Group Company Limited"
"1811","0x0713","Respiri Limited"
"1812","0x0714","MindPeace Safety LLC"
"1813","0x0715","Vgyan Solutions"
"1814","0x0716","Altonics"
"1815","0x0717","iQsquare BV"
"1816","0x0718","IDIBAIX enginneering"
"1817","0x0719","ECSG"
"1818","0x071A","REVSMART WEARABLE HK CO LTD"
"1819","0x071B","Precor"
"1820","0x071C","F5 Sports, Inc"
"1821","0x071D","exoTIC Systems"
"1822","0x071E","DONGGUAN HELE ELECTRONICS CO., LTD"
"1823","0x071F","Dongguan Liesheng Electronic Co.Ltd"
"1824","0x0720","Oculeve, Inc."
"1825","0x0721","Clover Network, Inc."
"1826","0x0722","Xiamen Eholder Electronics Co.Ltd"
"1827","0x0723","Ford Motor Company"
"1828","0x0724","Guangzhou SuperSound Information Technology Co.,Ltd"
"1829","0x0725","Tedee Sp. z o.o."
"1830","0x0726","PHC Corporation"
"1831","0x0727","STALKIT AS"
"1832","0x0728","Eli Lilly and Company"
"1833","0x0729","SwaraLink Technologies"
"1834","0x072A","JMR embedded systems GmbH"
"1835","0x072B","Bitkey Inc."
"1836","0x072C","GWA Hygiene GmbH"
"1837","0x072D","Safera Oy"
"1838","0x072E","Open Platform Systems LLC"
"1839","0x072F","OnePlus Electronics (Shenzhen) Co., Ltd."
"1840","0x0730","Wildlife Acoustics, Inc."
"1841","0x0731","ABLIC Inc."
"1842","0x0732","Dairy Tech, Inc."
"1843","0x0733","Iguanavation, Inc."
"1844","0x0734","DiUS Computing Pty Ltd"
"1845","0x0735","UpRight Technologies LTD"
"1846","0x0736","FrancisFund, LLC"
"1847","0x0737","LLC Navitek"
"1848","0x0738","Glass Security Pte Ltd"
"1849","0x0739","Jiangsu Qinheng Co., Ltd."
"1850","0x073A","Chandler Systems Inc."
"1851","0x073B","Fantini Cosmi s.p.a."
"1852","0x073C","Acubit ApS"
"1853","0x073D","Beijing Hao Heng Tian Tech Co., Ltd."
"1854","0x073E","Bluepack S.R.L."
"1855","0x073F","Beijing Unisoc Technologies Co., Ltd."
"1856","0x0740","HITIQ LIMITED"
"1857","0x0741","MAC SRL"
"1858","0x0742","DML LLC"
"1859","0x0743","Sanofi"
"1860","0x0744","SOCOMEC"
"1861","0x0745","WIZNOVA, Inc."
"1862","0x0746","Seitec Elektronik GmbH"
"1863","0x0747","OR Technologies Pty Ltd"
"1864","0x0748","GuangZhou KuGou Computer Technology Co.Ltd"
"1865","0x0749","DIAODIAO (Beijing) Technology Co., Ltd."
"1866","0x074A","Illusory Studios LLC"
"1867","0x074B","Sarvavid Software Solutions LLP"
"1868","0x074C","iopool s.a."
"1869","0x074D","Amtech Systems, LLC"
"1870","0x074E","EAGLE DETECTION SA"
"1871","0x074F","MEDIATECH S.R.L."
"1872","0x0750","Hamilton Professional Services of Canada Incorporated"
"1873","0x0751","Changsha JEMO IC Design Co.,Ltd"
"1874","0x0752","Elatec GmbH"
"1875","0x0753","JLG Industries, Inc."
"1876","0x0754","Michael Parkin"
"1877","0x0755","Brother Industries, Ltd"
"1878","0x0756","Lumens For Less, Inc"
"1879","0x0757","ELA Innovation"
"1880","0x0758","umanSense AB"
"1881","0x0759","Shanghai InGeek Cyber Security Co., Ltd."
"1882","0x075A","HARMAN CO.,LTD."
"1883","0x075B","Smart Sensor Devices AB"
"1884","0x075C","Antitronics Inc."
"1885","0x075D","RHOMBUS SYSTEMS, INC."
"1886","0x075E","Katerra Inc."
"1887","0x075F","Remote Solution Co., LTD."
"1888","0x0760","Vimar SpA"
"1889","0x0761","Mantis Tech LLC"
"1890","0x0762","TerOpta Ltd"
"1891","0x0763","PIKOLIN S.L."
"1892","0x0764","WWZN Information Technology Company Limited"
"1893","0x0765","Voxx International"
"1894","0x0766","ART AND PROGRAM, INC."
"1895","0x0767","NITTO DENKO ASIA TECHNICAL CENTRE PTE. LTD."
"1896","0x0768","Peloton Interactive Inc."
"1897","0x0769","Force Impact Technologies"
"1898","0x076A","Dmac Mobile Developments, LLC"
"1899","0x076B","Engineered Medical Technologies"
"1900","0x076C","Noodle Technology inc"
"1901","0x076D","Graesslin GmbH"
"1902","0x076E","WuQi technologies, Inc."
"1903","0x076F","Successful Endeavours Pty Ltd"
"1904","0x0770","InnoCon Medical ApS"
"1905","0x0771","Corvex Connected Safety"
"1906","0x0772","Thirdwayv Inc."
"1907","0x0773","Echoflex Solutions Inc."
"1908","0x0774","C-MAX Asia Limited"
"1909","0x0775","4eBusiness GmbH"
"1910","0x0776","Cyber Transport Control GmbH"
"1911","0x0777","Cue"
"1912","0x0778","KOAMTAC INC."
"1913","0x0779","Loopshore Oy"
"1914","0x077A","Niruha Systems Private Limited"
"1915","0x077B","AmaterZ, Inc."
"1916","0x077C","radius co., ltd."
"1917","0x077D","Sensority, s.r.o."
"1918","0x077E","Sparkage Inc."
"1919","0x077F","Glenview Software Corporation"
"1920","0x0780","Finch Technologies Ltd."
"1921","0x0781","Qingping Technology (Beijing) Co., Ltd."
"1922","0x0782","DeviceDrive AS"
"1923","0x0783","ESEMBER LIMITED LIABILITY COMPANY"
"1924","0x0784","audifon GmbH & Co. KG"
"1925","0x0785","O2 Micro, Inc."
"1926","0x0786","HLP Controls Pty Limited"
"1927","0x0787","Pangaea Solution"
"1928","0x0788","BubblyNet, LLC"
"1930","0x078A","The Wildflower Foundation"
"1931","0x078B","Optikam Tech Inc."
"1932","0x078C","MINIBREW HOLDING B.V"
"1933","0x078D","Cybex GmbH"
"1934","0x078E","FUJIMIC NIIGATA, INC."
"1935","0x078F","Hanna Instruments, Inc."
"1936","0x0790","KOMPAN A/S"
"1937","0x0791","Scosche Industries, Inc."
"1938","0x0792","Provo Craft"
"1939","0x0793","AEV spol. s r.o."
"1940","0x0794","The Coca-Cola Company"
"1941","0x0795","GASTEC CORPORATION"
"1942","0x0796","StarLeaf Ltd"
"1943","0x0797","Water-i.d. GmbH"
"1944","0x0798","HoloKit, Inc."
"1945","0x0799","PlantChoir Inc."
"1946","0x079A","GuangDong Oppo Mobile Telecommunications Corp., Ltd."
"1947","0x079B","CST ELECTRONICS (PROPRIETARY) LIMITED"
"1948","0x079C","Sky UK Limited"
"1949","0x079D","Digibale Pty Ltd"
"1950","0x079E","Smartloxx GmbH"
"1951","0x079F","Pune Scientific LLP"
"1952","0x07A0","Regent Beleuchtungskorper AG"
